symbol,date,open,high,low,close,volume
21STCENMGM,2025-07-03,59.91,59.91,59.13,59.91,6905
21STCENMGM,2025-07-04,61.1,61.1,61.1,61.1,994
21STCENMGM,2025-07-07,62.32,62.32,61.5,62.21,13507
21STCENMGM,2025-07-08,61.5,63.45,61.5,62.94,15497
21STCENMGM,2025-07-09,64.07,64.19,61.68,61.98,15852
21STCENMGM,2025-07-10,62.0,63.21,60.74,61.55,10746
21STCENMGM,2025-07-11,62.42,62.42,60.31,60.66,9846
21STCENMGM,2025-07-14,60.31,60.66,59.44,59.44,4765
21STCENMGM,2025-07-15,59.44,59.44,58.25,58.25,8561
21STCENMGM,2025-07-16,57.09,59.41,57.09,58.02,7607
21STCENMGM,2025-07-17,59.0,59.18,58.0,59.17,12885
21STCENMGM,2025-07-18,59.17,60.35,58.34,59.72,7627
21STCENMGM,2025-07-21,60.9,60.9,58.54,59.17,9387
21STCENMGM,2025-07-22,58.38,60.0,58.0,58.36,11456
21STCENMGM,2025-07-23,58.4,59.49,57.91,58.98,3135
21STCENMGM,2025-07-24,59.95,59.95,58.58,59.62,10244
21STCENMGM,2025-07-25,60.64,60.75,59.16,60.18,14131
21STCENMGM,2025-07-28,60.18,61.35,59.1,60.33,14634
21STCENMGM,2025-07-29,61.2,61.5,59.2,61.06,12599
21STCENMGM,2025-07-30,61.2,62.03,59.83,60.14,16576
21STCENMGM,2025-07-31,59.05,60.13,58.93,58.98,4705
21STCENMGM,2025-08-01,58.98,60.1,57.85,59.04,2524
21STCENMGM,2025-08-04,60.02,60.14,58.11,58.17,6903
21STCENMGM,2025-08-05,57.42,58.2,57.0,57.72,3291
21STCENMGM,2025-08-06,56.9,58.83,56.63,57.17,3411
21STCENMGM,2025-08-07,56.89,57.92,56.02,57.48,3863
21STCENMGM,2025-08-08,56.39,58.49,56.33,56.55,3888
21STCENMGM,2025-08-11,56.55,57.67,55.51,55.7,2839
21STCENMGM,2025-08-12,55.7,56.81,55.7,56.61,1654
21STCENMGM,2025-08-13,55.57,57.67,55.53,56.95,4188
21STCENMGM,2025-08-14,56.95,56.95,56.05,56.05,3611
21STCENMGM,2025-08-18,55.02,57.04,55.0,56.72,6324
21STCENMGM,2025-08-19,57.85,57.85,56.12,56.95,5639
21STCENMGM,2025-08-20,56.95,57.63,56.12,56.85,2638
21STCENMGM,2025-08-21,57.98,57.98,56.57,56.84,1938
21STCENMGM,2025-08-22,56.84,57.45,56.0,56.0,2153
21STCENMGM,2025-08-25,56.99,56.99,54.88,55.02,6805
21STCENMGM,2025-08-26,55.29,56.0,53.95,53.98,7526
21STCENMGM,2025-08-28,55.05,55.05,53.32,53.84,5461
21STCENMGM,2025-08-29,54.73,54.73,53.0,53.03,9853
21STCENMGM,2025-09-01,53.01,53.01,51.96,52.26,8576
21STCENMGM,2025-09-02,53.3,53.3,51.7,53.22,3152
21STCENMGM,2025-09-03,53.2,54.2,52.41,54.12,3697
21STCENMGM,2025-09-04,55.15,55.15,53.03,53.37,7827
21STCENMGM,2025-09-05,52.37,54.23,52.36,52.57,1595
21STCENMGM,2025-09-08,53.62,53.62,52.02,53.62,813
21STCENMGM,2025-09-09,54.2,54.5,52.67,53.49,6139
21STCENMGM,2025-09-10,53.49,54.4,53.49,53.99,8462
21STCENMGM,2025-09-11,55.06,55.06,53.05,53.29,6198
21STCENMGM,2025-09-12,53.9,53.9,52.26,53.85,3051
21STCENMGM,2025-09-15,54.0,54.5,52.85,53.13,9388
21STCENMGM,2025-09-16,53.13,53.49,52.1,53.17,9558
21STCENMGM,2025-09-17,54.2,54.23,52.21,53.75,5415
21STCENMGM,2025-09-18,53.75,54.47,52.75,53.32,1068
21STCENMGM,2025-09-19,53.32,54.1,52.32,52.42,5298
21STCENMGM,2025-09-22,52.0,53.45,51.81,52.51,6453
21STCENMGM,2025-09-23,53.39,53.4,51.55,52.87,4423
21STCENMGM,2025-09-24,53.7,53.7,51.85,51.98,2006
21STCENMGM,2025-09-25,53.01,53.01,51.36,52.05,4045
21STCENMGM,2025-09-26,52.98,52.98,51.05,51.4,1349
21STCENMGM,2025-09-29,51.17,52.37,50.4,51.29,6910
